6;7;6;6;6;6;7;7;6;6
7;7;7;6;7;7;7;7;7;6
7;8;8;7;8;8;7;7;7;7
8;8;8;7;8;8;7;8;8;7
15;15;14;15;14;13;12;14;13;14
16;15;15;15;15;15;16;14;15;15
1635;1659;1677;1644;1661;1661;1610;1670;1670;1608
1645;1675;1698;1669;1683;1682;1642;1682;1678;1624
13114;13511;13301;13328;13412;13346;13408;13509;13312;13183
13214;13637;13469;13456;13538;13443;13534;13635;13457;13321
23880;24489;24169;24118;24318;24219;24246;24406;24107;24072
23977;24555;24209;24239;24410;24305;24317;24512;24208;24143
24138;24712;24368;24394;24565;24462;24475;24675;24367;24297
