6;5;5;5;5;5;5;5;5;5
6;5;5;6;5;5;5;5;5;6
6;5;6;6;6;5;5;6;5;6
6;6;6;6;6;5;5;6;5;6
6;6;6;7;6;5;6;6;6;6
7;6;7;5;6;5;6;7;6;7
12;13;12;13;13;13;12;12;12;13
14;13;14;13;13;13;13;13;13;13
910;920;909;961;940;952;964;959;1032;940
938;961;958;970;992;965;1038;981;1034;999
6157;6152;6179;6238;6372;6188;6246;6372;6842;6367
6236;6260;6246;6299;6502;6318;6376;6474;6996;6469
13518;13500;13365;13920;13595;13463;13556;13724;14490;13693
13648;13527;13458;13955;13692;13492;13685;13771;14522;13779
20324;20203;20101;21205;20230;20166;20354;20477;21207;20351
20520;20269;20173;21216;20307;20220;20354;20557;21238;20444
20675;20424;20335;21378;20463;20367;20517;20715;21406;20603
