5;5;6;5;5;6;5;5;5;6
5;6;6;5;6;6;6;5;5;6
6;6;6;5;6;6;6;6;5;6
6;6;6;5;6;6;6;6;5;6
6;6;6;5;7;7;10;6;6;6
6;6;7;6;7;7;5;6;6;7
12;12;14;13;14;14;14;13;12;13
13;14;14;13;14;14;14;16;13;14
892;978;893;946;929;974;976;933;1013;949
916;981;920;956;942;1016;1021;998;1019;1003
6333;6246;6225;6218;6225;6299;6305;6187;6434;6299
6443;6397;6311;6310;6299;6395;6374;6292;6539;6362
13704;13619;13640;13587;13473;13731;14809;13422;13694;13634
13707;13703;13669;13646;13486;13761;14841;13483;13731;13638
20333;20407;20334;20226;20144;20372;23054;20105;20308;20221
20362;20438;20389;20292;20264;20443;23299;20180;20375;20317
20527;20605;20543;20447;20423;20594;23460;20339;20539;20490
