5;6;5;5;5;5;5;5;5;5
5;6;6;6;5;5;5;5;5;5
5;6;6;6;5;5;5;5;5;6
6;6;6;6;5;6;5;5;5;6
6;7;7;6;6;6;5;6;6;6
6;7;7;6;6;6;6;6;6;7
65;84;66;65;71;65;67;64;67;65
76;89;74;71;77;73;76;80;76;76
3188;3313;3316;3336;3283;3248;3243;3275;3341;3256
3263;3428;3429;3396;3358;3348;3311;3353;3403;3334
12340;12531;12548;12505;12513;12554;12786;12447;12493;12433
12390;12561;12569;12545;12583;12610;12787;12507;12493;12475
19059;19294;19243;19286;19206;19239;19428;19158;19191;19139
19191;19427;19381;19436;19356;19365;19605;19281;19362;19302
19327;19562;19517;19577;19495;19501;19745;19447;19506;19446
