8067;8653;8243;9663;8485;8511;7719;7477;8461;8892
8931;8807;8960;9678;9296;9271;8052;9199;9288;9483
9169;9012;9138;10045;9378;9361;8308;9599;9303;9671
9549;9233;9691;10154;9899;9891;8803;9968;9877;9679
9676;9597;9861;10462;9973;9899;9841;10020;9987;9938
10132;9723;10208;10667;10399;10388;10418;10090;10299;10327
10159;9760;10301;10844;10405;10458;10524;10361;10430;10457
10171;11102;10324;10881;10518;10478;10956;11014;10469;10505
10678;11325;10697;10941;10934;10917;12760;11087;10864;10871
10831;11483;10849;11100;11100;11075;12915;11241;11023;11033
