6591;6687;6585;6605;6625;6489;6537;6368;6457;6631
7023;7129;6661;7038;7114;7619;6988;7061;6923;7130
7503;7744;6976;7598;7585;8393;7362;7125;7471;7652
7749;7750;7128;7676;7603;8541;7615;7630;7549;7699
7848;7844;7401;7846;7724;8559;7627;7897;7734;7788
7874;7972;8359;7889;7891;8716;7768;7993;7762;7842
8174;8219;8475;8275;8139;8724;8040;8011;8064;8145
8503;8588;8546;8546;8567;8828;8318;8284;8360;8454
8579;8648;8560;8554;8585;9061;8344;8316;8403;8594
8839;8923;8629;8829;8889;9165;8675;8620;8762;8813
8872;8985;9654;8966;8961;9224;8751;9091;8769;8899
9438;9621;10116;9432;9499;10246;9252;9711;9351;9478
9597;9780;10274;9583;9657;10396;9411;9869;9506;9630
