6820;6891;6579;7085;6969;7043;6952;6919;6299;6862
8015;7938;6933;8153;8053;7047;7927;7930;7943;7947
8337;8313;8047;8518;8383;8155;8220;8341;8086;8308
8424;8460;8107;8635;8389;8276;8319;8400;8213;8381
8486;8463;8111;8696;8484;8419;8321;8404;8378;8418
8580;8629;8469;8835;8567;8594;8426;8575;8625;8498
8722;8849;9238;9037;8763;8843;8653;8784;8844;8856
9029;9000;9352;9199;9019;9190;8961;8963;8862;9030
9112;9293;9847;9531;9333;9562;9193;9283;9461;9195
9480;9547;9862;9716;9465;9799;9425;9598;9513;9494
10037;10080;10337;10325;10054;10493;10023;10066;9994;10033
10190;10241;10487;10481;10212;10652;10198;10219;10177;10185
