4263;4347;4324;4812;4469;4279;4425;4371;4303;4592
4649;4682;4760;4879;4485;4647;4746;4744;4643;4700
4688;4761;4858;4961;4796;4832;4942;4855;5082;4833
5121;5238;5232;5069;4977;5241;5191;5218;5330;5123
5392;5348;5351;5136;5211;5385;5352;5460;5441;5162
5392;5441;5492;5367;5433;5560;5469;5582;5537;5321
5576;5587;5668;5565;5508;5615;5698;5721;5579;5725
5975;5936;5943;5571;5922;5919;5997;5976;5927;6030
6037;6004;6085;6829;6866;6041;6128;6014;6553;6385
6123;6091;6171;6917;6951;6130;6215;6110;6643;6472
