5111;5254;5150;5202;3849;5313;5272;5278;5244;5258
5458;5618;5542;5480;5066;5655;5567;5592;5534;5623
5518;5652;5547;5546;5515;5692;5622;5651;5598;5628
5859;6004;5947;5912;5800;6082;6004;6027;5969;5992
6100;6314;6181;6193;5803;6234;6268;6314;6239;6255
6151;6323;6242;6222;5875;6353;6280;6344;6271;6334
6159;6351;6253;6231;6180;6380;6317;6355;6323;6365
6263;6426;6357;6402;6264;6472;6480;6513;6452;6459
6594;6802;6703;6726;6530;6867;6811;6820;6746;6781
6654;6812;6749;6759;6560;6874;6846;6847;6806;6885
6776;6982;6867;6906;6728;6994;6948;6967;6910;6993
6825;7024;6894;6907;6919;7017;6965;7015;6937;7005
6862;7043;6920;6951;7935;7046;6992;7035;6961;7022
7020;7206;7086;7140;8032;7236;7166;7226;7139;7217
7161;7344;7219;7270;8167;7381;7317;7358;7271;7355
