6405;6669;7276;6531;6975;8132;6668;7375;5679
6678;6739;7287;6626;7102;8276;6803;7383;5746
6699;6870;7498;6850;7228;8445;6926;7389;5822
6898;6875;7590;6903;7234;8507;6946;7418;5889
6934;7220;7854;7387;8043;9037;7421;7680;6166
7340;7563;8467;7862;8265;9505;7980;8022;6451
7364;7566;8548;7980;8270;9508;7989;8085;6508
7391;7579;8583;7990;8281;9510;8015;8100;6516
7530;7627;8592;7992;8295;9559;8044;8166;6553
7562;7679;8651;8085;8330;9597;8051;8169;6612
7719;7793;8794;8153;8430;9782;8214;8273;6719
7882;8039;9319;8691;9145;10286;8531;8530;7071
7996;8305;9433;8842;9215;10501;8980;8713;7146
8117;8325;9538;8974;9370;10503;8992;8797;7233
8216;8388;9548;9060;9479;10568;9109;8832;7286
8309;8610;9944;9268;9654;10993;9301;9052;7477
8478;8788;10143;9486;9863;11205;9491;9216;7630
